exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BC,2011,Z,0000070,20110428,N,D,40,0,0,0,20,20,0,0,0,0,0,0,0,40,13a,C,X
CBOT,BC,2011,Z,0000070,20110428,N,A,40,0,0,0,20,20,0,0,0,0,0,0,0,40,13a,C,X
CBOT,BO,2011,K,,20110428,N,D,56330,0,2,-2,2,4,-2,0,0,0,4,0,4,12,12a,,X
CBOT,BO,2011,K,,20110428,N,A,56330,0,2,-2,2,4,-2,0,0,0,4,0,4,12,12a,,X
CBOT,BO,2011,K,,20110428,N,D,56470,0,0,0,0,0,0,0,0,0,1,1,0,2,13b,,X
CBOT,BO,2011,K,,20110428,N,A,56470,0,0,0,0,0,0,0,0,0,1,1,0,2,13b,,X
CBOT,BO,2011,K,,20110428,N,D,56480,6,15,-9,0,0,0,9,0,9,0,0,0,30,13b,,X
CBOT,BO,2011,K,,20110428,N,D,56480,0,37,-37,37,0,37,0,0,0,0,0,0,74,13d,,X
CBOT,BO,2011,K,,20110428,N,A,56480,6,52,-46,37,0,37,9,0,9,0,0,0,104,13b13d,,X
CBOT,BO,2011,K,,20110428,Y,D,57000,0,0,0,0,0,0,0,0,0,0,44,-44,44,12d,,X
CBOT,BO,2011,K,,20110428,Y,A,57000,0,0,0,0,0,0,0,0,0,0,44,-44,44,12d,,X
CBOT,BO,2011,K,,20110428,N,D,57030,37,0,37,0,0,0,0,0,0,0,37,-37,74,11a,,X
CBOT,BO,2011,K,,20110428,N,D,57030,15,15,0,0,0,0,0,0,0,0,0,0,30,11c,,X
CBOT,BO,2011,K,,20110428,N,A,57030,52,15,37,0,0,0,0,0,0,0,37,-37,104,11a11c,,X
CBOT,BO,2011,K,,20110428,Y,D,57100,0,0,0,0,0,0,0,0,0,0,380,-380,380,10b,,X
CBOT,BO,2011,K,,20110428,Y,D,57100,0,0,0,0,0,0,0,0,0,0,689,-689,689,10d,,X
CBOT,BO,2011,K,,20110428,Y,A,57100,0,0,0,0,0,0,0,0,0,0,1069,-1069,1069,10b10d,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,0,0,0,0,0,0,20,0,20,0,0,0,20,09b,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,298,649,-351,35,0,35,46,562,-516,812,0,812,2402,09c,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,6,2,4,0,0,0,0,4,-4,0,0,0,12,09d,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,6,12,-6,0,0,0,0,101,-101,98,1,97,218,10a,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,278,148,130,150,0,150,100,0,100,0,0,0,676,10b,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,5,0,5,0,5,-5,0,0,0,180,0,180,190,10c,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,419,0,419,0,0,0,100,0,100,0,0,0,519,10d,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,0,0,0,6,0,6,0,0,0,0,6,-6,12,11b,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,0,23,-23,0,0,0,0,0,0,0,0,0,23,11c,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,100,157,-57,0,0,0,0,0,0,0,0,0,257,11d,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,139,20,119,0,0,0,0,0,0,0,39,-39,198,12a,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,0,60,-60,0,0,0,0,20,-20,80,0,80,160,12c,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,0,8,-8,0,0,0,0,25,-25,77,0,77,110,12d,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,24,0,24,0,0,0,0,0,0,0,0,0,24,13a,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,6,15,-9,0,0,0,0,0,0,0,0,0,21,13d,,X
CBOT,BO,2011,K,,20110428,Y,D,57860,35,50,-15,0,0,0,0,0,0,0,0,0,85,14b,,X
CBOT,BO,2011,K,,20110428,Y,A,57860,1316,1144,172,191,5,186,266,712,-446,1247,46,1201,4927,09b09c09d10a10b10c10d11b11c11d12a12c12d13a13d14b,,X
CBOT,BO,2011,K,,20110428,Y,D,57920,0,10,-10,0,0,0,0,0,0,10,0,10,20,09c,,X
CBOT,BO,2011,K,,20110428,Y,A,57920,0,10,-10,0,0,0,0,0,0,10,0,10,20,09c,,X
CBOT,BO,2011,K,,20110428,N,D,58100,0,0,0,0,0,0,0,0,0,1,1,0,2,09c,,X
CBOT,BO,2011,K,,20110428,N,A,58100,0,0,0,0,0,0,0,0,0,1,1,0,2,09c,,X
