exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BO,2011,K,,20110418,N,D,56530,4,0,4,0,4,-4,0,0,0,0,0,0,8,09c,,X
CBOT,BO,2011,K,,20110418,N,A,56530,4,0,4,0,4,-4,0,0,0,0,0,0,8,09c,,X
CBOT,BO,2011,K,,20110418,N,D,56600,7,6,1,1,0,1,0,0,0,0,2,-2,16,09c,,X
CBOT,BO,2011,K,,20110418,N,A,56600,7,6,1,1,0,1,0,0,0,0,2,-2,16,09c,,X
CBOT,BO,2011,K,,20110418,Y,D,56600,0,0,0,0,0,0,0,0,0,0,527,-527,527,09c,,X
CBOT,BO,2011,K,,20110418,Y,A,56600,0,0,0,0,0,0,0,0,0,0,527,-527,527,09c,,X
CBOT,BO,2011,K,,20110418,N,D,56610,0,5,-5,5,0,5,0,0,0,0,0,0,10,09c,,X
CBOT,BO,2011,K,,20110418,N,A,56610,0,5,-5,5,0,5,0,0,0,0,0,0,10,09c,,X
CBOT,BO,2011,K,,20110418,N,D,56620,0,1,-1,0,0,0,0,0,0,1,0,1,2,09c,,X
CBOT,BO,2011,K,,20110418,N,D,56620,0,3,-3,3,0,3,0,0,0,0,0,0,6,09d,,X
CBOT,BO,2011,K,,20110418,N,A,56620,0,4,-4,3,0,3,0,0,0,1,0,1,8,09c09d,,X
CBOT,BO,2011,K,,20110418,N,D,56650,5,0,5,5,10,-5,0,0,0,0,0,0,20,09c,,X
CBOT,BO,2011,K,,20110418,N,A,56650,5,0,5,5,10,-5,0,0,0,0,0,0,20,09c,,X
CBOT,BO,2011,K,,20110418,N,D,56660,6,0,6,0,6,-6,0,0,0,0,0,0,12,09d,,X
CBOT,BO,2011,K,,20110418,N,A,56660,6,0,6,0,6,-6,0,0,0,0,0,0,12,09d,,X
CBOT,BO,2011,K,,20110418,Y,D,56670,135,0,135,0,180,-180,45,0,45,0,0,0,360,09c,,X
CBOT,BO,2011,K,,20110418,Y,A,56670,135,0,135,0,180,-180,45,0,45,0,0,0,360,09c,,X
CBOT,BO,2011,K,,20110418,N,D,56710,0,0,0,6,6,0,0,0,0,0,0,0,12,09d,,X
CBOT,BO,2011,K,,20110418,N,A,56710,0,0,0,6,6,0,0,0,0,0,0,0,12,09d,,X
CBOT,BO,2011,K,,20110418,N,D,56730,7,0,7,0,7,-7,0,0,0,0,0,0,14,09d,,X
CBOT,BO,2011,K,,20110418,N,A,56730,7,0,7,0,7,-7,0,0,0,0,0,0,14,09d,,X
CBOT,BO,2011,K,,20110418,N,D,56740,0,3,-3,3,0,3,0,0,0,0,0,0,6,09d,,X
CBOT,BO,2011,K,,20110418,N,A,56740,0,3,-3,3,0,3,0,0,0,0,0,0,6,09d,,X
CBOT,BO,2011,K,,20110418,N,D,56750,5,10,-5,5,0,5,0,0,0,0,0,0,20,09d,,X
CBOT,BO,2011,K,,20110418,N,A,56750,5,10,-5,5,0,5,0,0,0,0,0,0,20,09d,,X
CBOT,BO,2011,K,,20110418,N,D,56820,0,7,-7,7,0,7,0,0,0,0,0,0,14,10d,,X
CBOT,BO,2011,K,,20110418,N,A,56820,0,7,-7,7,0,7,0,0,0,0,0,0,14,10d,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,377,85,292,85,0,85,75,0,75,28,0,28,650,09c,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,0,117,-117,0,30,-30,0,53,-53,172,0,172,372,09d,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,0,8,-8,0,0,0,8,0,8,0,0,0,16,10a,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,75,0,75,0,0,0,0,0,0,0,0,0,75,10b,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,0,170,-170,250,80,170,0,0,0,0,0,0,500,10c,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,0,290,-290,90,50,40,0,0,0,300,0,300,730,10d,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,0,50,-50,0,0,0,0,0,0,0,0,0,50,11a,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,250,0,250,0,350,-350,50,0,50,0,0,0,650,12a,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,13,25,-12,0,138,-138,150,0,150,0,0,0,326,12b,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,772,123,649,124,320,-196,162,0,162,37,3,34,1541,13a,,X
CBOT,BO,2011,K,,20110418,Y,D,56840,0,0,0,50,0,50,0,0,0,0,0,0,50,13c,,X
CBOT,BO,2011,K,,20110418,Y,A,56840,1487,868,619,599,968,-369,445,53,392,537,3,534,4960,09c09d10a10b10c10d11a12a12b13a13c,,X
CBOT,BO,2011,K,,20110418,N,D,56880,0,5,-5,5,0,5,0,0,0,0,0,0,10,11a,,X
CBOT,BO,2011,K,,20110418,N,D,56880,0,3,-3,3,0,3,0,0,0,0,0,0,6,11c,,X
CBOT,BO,2011,K,,20110418,N,A,56880,0,8,-8,8,0,8,0,0,0,0,0,0,16,11a11c,,X
CBOT,BO,2011,K,,20110418,N,D,56890,5,0,5,0,0,0,0,5,-5,0,0,0,10,11a,,X
CBOT,BO,2011,K,,20110418,N,A,56890,5,0,5,0,0,0,0,5,-5,0,0,0,10,11a,,X
CBOT,BO,2011,K,,20110418,N,D,56900,2,14,-12,14,0,14,0,2,-2,0,0,0,32,11a,,X
CBOT,BO,2011,K,,20110418,N,A,56900,2,14,-12,14,0,14,0,2,-2,0,0,0,32,11a,,X
