exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BO,2011,K,,20110502,N,D,57990,0,2,-2,0,0,0,0,0,0,2,0,2,4,09c,,X
CBOT,BO,2011,K,,20110502,N,A,57990,0,2,-2,0,0,0,0,0,0,2,0,2,4,09c,,X
CBOT,BO,2011,K,,20110502,Y,D,58130,10,102,-92,90,0,90,0,10,-10,12,0,12,224,09c,,X
CBOT,BO,2011,K,,20110502,Y,D,58130,30,30,0,0,0,0,0,0,0,0,0,0,60,09d,,X
CBOT,BO,2011,K,,20110502,Y,D,58130,14,13,1,0,0,0,0,0,0,0,1,-1,28,10a,,X
CBOT,BO,2011,K,,20110502,Y,D,58130,1,0,1,0,1,-1,0,0,0,0,0,0,2,13d,,X
CBOT,BO,2011,K,,20110502,Y,A,58130,55,145,-90,90,1,89,0,10,-10,12,1,11,314,09c09d10a13d,,X
CBOT,BO,2011,K,,20110502,N,D,58150,0,0,0,1,0,1,0,0,0,0,1,-1,2,13d,,X
CBOT,BO,2011,K,,20110502,N,A,58150,0,0,0,1,0,1,0,0,0,0,1,-1,2,13d,,X
CBOT,BO,2011,K,,20110502,N,D,58200,0,6,-6,0,0,0,6,0,6,0,0,0,12,10a,,X
CBOT,BO,2011,K,,20110502,N,A,58200,0,6,-6,0,0,0,6,0,6,0,0,0,12,10a,,X
CBOT,BO,2011,K,,20110502,N,D,58230,0,1,-1,0,0,0,0,0,0,1,0,1,2,12a,,X
CBOT,BO,2011,K,,20110502,N,A,58230,0,1,-1,0,0,0,0,0,0,1,0,1,2,12a,,X
CBOT,BO,2011,K,,20110502,N,D,58530,0,1,-1,0,0,0,0,0,0,1,0,1,2,09d,,X
CBOT,BO,2011,K,,20110502,N,A,58530,0,1,-1,0,0,0,0,0,0,1,0,1,2,09d,,X
CBOT,BO,2011,N,,20110502,N,D,58400,6,0,6,0,6,-6,0,0,0,0,0,0,12,09c,,X
CBOT,BO,2011,N,,20110502,N,A,58400,6,0,6,0,6,-6,0,0,0,0,0,0,12,09c,,X
CBOT,BO,2011,N,,20110502,Y,D,58400,0,243,-243,0,0,0,0,27,-27,270,0,270,540,09c,,X
CBOT,BO,2011,N,,20110502,Y,D,58400,0,63,-63,0,0,0,0,0,0,0,0,0,63,09d,,X
CBOT,BO,2011,N,,20110502,Y,D,58400,0,27,-27,0,0,0,0,0,0,90,0,90,117,10a,,X
CBOT,BO,2011,N,,20110502,Y,D,58400,0,135,-135,0,0,0,0,0,0,135,0,135,270,11a,,X
CBOT,BO,2011,N,,20110502,Y,D,58400,0,90,-90,0,0,0,0,0,0,90,0,90,180,11c,,X
CBOT,BO,2011,N,,20110502,Y,D,58400,0,72,-72,0,0,0,0,18,-18,90,0,90,180,12b,,X
CBOT,BO,2011,N,,20110502,Y,D,58400,0,135,-135,0,0,0,0,0,0,135,0,135,270,13a,,X
CBOT,BO,2011,N,,20110502,Y,A,58400,0,765,-765,0,0,0,0,45,-45,810,0,810,1620,09c09d10a11a11c12b13a,,X
CBOT,BO,2011,N,,20110502,N,D,58460,0,5,-5,5,0,5,0,0,0,0,0,0,10,12d,,X
CBOT,BO,2011,N,,20110502,N,A,58460,0,5,-5,5,0,5,0,0,0,0,0,0,10,12d,,X
CBOT,BO,2011,N,,20110502,N,D,58490,0,10,-10,10,0,10,0,0,0,0,0,0,20,10a,,X
CBOT,BO,2011,N,,20110502,N,A,58490,0,10,-10,10,0,10,0,0,0,0,0,0,20,10a,,X
CBOT,BO,2011,N,,20110502,N,D,58500,5,20,-15,5,11,-6,0,0,0,21,0,21,62,09c,,X
CBOT,BO,2011,N,,20110502,N,D,58500,0,1,-1,0,0,0,0,0,0,1,0,1,2,09d,,X
CBOT,BO,2011,N,,20110502,N,A,58500,5,21,-16,5,11,-6,0,0,0,22,0,22,64,09c09d,,X
CBOT,BO,2011,N,,20110502,Y,D,58500,0,0,0,0,0,0,0,0,0,0,41,-41,41,09d,,X
CBOT,BO,2011,N,,20110502,Y,D,58500,35,0,35,0,0,0,0,0,0,0,35,-35,70,10d,,X
CBOT,BO,2011,N,,20110502,Y,D,58500,35,0,35,0,0,0,0,0,0,0,35,-35,70,11a,,X
CBOT,BO,2011,N,,20110502,Y,D,58500,0,0,0,0,0,0,0,0,0,53,0,53,53,11b,,X
CBOT,BO,2011,N,,20110502,Y,D,58500,35,0,35,0,0,0,0,0,0,0,35,-35,70,11d,,X
CBOT,BO,2011,N,,20110502,Y,D,58500,0,0,0,0,0,0,41,0,41,0,0,0,41,12b,,X
CBOT,BO,2011,N,,20110502,Y,A,58500,105,0,105,0,0,0,41,0,41,53,146,-93,345,09d10d11a11b11d12b,,X
CBOT,BO,2011,N,,20110502,N,D,58530,0,27,-27,27,0,27,0,0,0,0,0,0,54,10a,,X
CBOT,BO,2011,N,,20110502,N,A,58530,0,27,-27,27,0,27,0,0,0,0,0,0,54,10a,,X
CBOT,BO,2011,N,,20110502,N,D,58540,0,5,-5,5,0,5,0,0,0,0,0,0,10,10a,,X
