exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BO,2011,K,,20110419,Y,D,57180,0,90,-90,0,0,0,0,0,0,90,0,90,180,12c,,X
CBOT,BO,2011,K,,20110419,Y,A,57180,0,90,-90,0,0,0,0,0,0,90,0,90,180,12c,,X
CBOT,BO,2011,K,,20110419,N,D,57190,10,16,-6,6,0,6,0,0,0,0,0,0,32,10b,,X
CBOT,BO,2011,K,,20110419,N,A,57190,10,16,-6,6,0,6,0,0,0,0,0,0,32,10b,,X
CBOT,BO,2011,K,,20110419,N,D,57220,1,0,1,0,1,-1,0,0,0,0,0,0,2,10b,,X
CBOT,BO,2011,K,,20110419,N,A,57220,1,0,1,0,1,-1,0,0,0,0,0,0,2,10b,,X
CBOT,BO,2011,K,,20110419,N,D,57230,6,6,0,0,0,0,0,0,0,0,0,0,12,10a,,X
CBOT,BO,2011,K,,20110419,N,A,57230,6,6,0,0,0,0,0,0,0,0,0,0,12,10a,,X
CBOT,BO,2011,K,,20110419,N,D,57260,5,5,0,0,0,0,0,0,0,0,0,0,10,10b,,X
CBOT,BO,2011,K,,20110419,N,A,57260,5,5,0,0,0,0,0,0,0,0,0,0,10,10b,,X
CBOT,BO,2011,K,,20110419,Y,D,57300,73,0,73,0,0,0,0,0,0,0,73,-73,146,10b,,X
CBOT,BO,2011,K,,20110419,Y,A,57300,73,0,73,0,0,0,0,0,0,0,73,-73,146,10b,,X
CBOT,BO,2011,K,,20110419,N,D,57320,2,0,2,0,0,0,0,0,0,0,0,0,2,09c,,X
CBOT,BO,2011,K,,20110419,N,D,57320,0,0,0,0,2,-2,0,0,0,0,0,0,2,09d,,X
CBOT,BO,2011,K,,20110419,N,A,57320,2,0,2,0,2,-2,0,0,0,0,0,0,4,09c09d,,X
CBOT,BO,2011,K,,20110419,N,D,57330,0,0,0,6,6,0,0,0,0,0,0,0,12,09c,,X
CBOT,BO,2011,K,,20110419,N,A,57330,0,0,0,6,6,0,0,0,0,0,0,0,12,09c,,X
CBOT,BO,2011,K,,20110419,Y,D,57360,5,0,5,0,0,0,0,0,0,0,5,-5,10,11a,,X
CBOT,BO,2011,K,,20110419,Y,A,57360,5,0,5,0,0,0,0,0,0,0,5,-5,10,11a,,X
