exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BO,2011,K,,20110421,N,D,57780,0,4,-4,4,0,4,0,0,0,0,0,0,8,09c,,X
CBOT,BO,2011,K,,20110421,N,A,57780,0,4,-4,4,0,4,0,0,0,0,0,0,8,09c,,X
CBOT,BO,2011,K,,20110421,N,D,57800,0,1,-1,0,0,0,0,0,0,1,0,1,2,09c,,X
CBOT,BO,2011,K,,20110421,N,A,57800,0,1,-1,0,0,0,0,0,0,1,0,1,2,09c,,X
CBOT,BO,2011,K,,20110421,Y,D,57800,12,0,12,0,12,-12,0,0,0,0,0,0,24,09c,,X
CBOT,BO,2011,K,,20110421,Y,D,57800,24,0,24,78,0,78,0,0,0,0,102,-102,204,10a,,X
CBOT,BO,2011,K,,20110421,Y,A,57800,36,0,36,78,12,66,0,0,0,0,102,-102,228,09c10a,,X
CBOT,BO,2011,K,,20110421,N,D,57860,0,90,-90,0,10,-10,0,0,0,0,0,0,100,09c,,X
CBOT,BO,2011,K,,20110421,N,D,57860,0,0,0,100,0,100,0,0,0,0,0,0,100,09d,,X
CBOT,BO,2011,K,,20110421,N,A,57860,0,90,-90,100,10,90,0,0,0,0,0,0,200,09c09d,,X
CBOT,BO,2011,K,,20110421,Y,D,57950,0,36,-36,0,0,0,18,0,18,18,0,18,72,10d,,X
CBOT,BO,2011,K,,20110421,Y,A,57950,0,36,-36,0,0,0,18,0,18,18,0,18,72,10d,,X
CBOT,BO,2011,K,,20110421,N,D,57960,0,3,-3,3,0,3,0,0,0,0,0,0,6,09c,,X
CBOT,BO,2011,K,,20110421,N,A,57960,0,3,-3,3,0,3,0,0,0,0,0,0,6,09c,,X
CBOT,BO,2011,K,,20110421,N,D,57990,0,10,-10,10,0,10,0,0,0,0,0,0,20,10c,,X
CBOT,BO,2011,K,,20110421,N,A,57990,0,10,-10,10,0,10,0,0,0,0,0,0,20,10c,,X
CBOT,BO,2011,K,,20110421,Y,D,58000,0,5,-5,10,5,5,0,0,0,0,0,0,20,09d,,X
CBOT,BO,2011,K,,20110421,Y,D,58000,0,18,-18,49,36,13,0,0,0,0,0,0,103,10a,,X
CBOT,BO,2011,K,,20110421,Y,D,58000,0,0,0,130,172,-42,0,0,0,47,0,47,349,10b,,X
CBOT,BO,2011,K,,20110421,Y,D,58000,50,0,50,0,50,-50,0,0,0,0,0,0,100,11b,,X
CBOT,BO,2011,K,,20110421,Y,A,58000,50,23,27,189,263,-74,0,0,0,47,0,47,572,09d10a10b11b,,X
CBOT,BO,2011,K,,20110421,N,D,58020,0,0,0,3,3,0,0,0,0,0,0,0,6,10d,,X
CBOT,BO,2011,K,,20110421,N,A,58020,0,0,0,3,3,0,0,0,0,0,0,0,6,10d,,X
CBOT,BO,2011,K,,20110421,Y,D,58030,0,18,-18,0,0,0,0,0,0,18,0,18,36,11b,,X
CBOT,BO,2011,K,,20110421,Y,A,58030,0,18,-18,0,0,0,0,0,0,18,0,18,36,11b,,X
CBOT,BO,2011,K,,20110421,N,D,58100,5,5,0,0,0,0,0,0,0,0,0,0,10,11a,,X
CBOT,BO,2011,K,,20110421,N,A,58100,5,5,0,0,0,0,0,0,0,0,0,0,10,11a,,X
CBOT,BO,2011,K,,20110421,Y,D,58140,170,0,170,42,254,-212,42,1,41,1,0,1,510,09c,,X
CBOT,BO,2011,K,,20110421,Y,D,58140,11,21,-10,0,0,0,10,0,10,0,0,0,42,10a,,X
CBOT,BO,2011,K,,20110421,Y,D,58140,200,0,200,0,200,-200,0,0,0,0,0,0,400,11d,,X
CBOT,BO,2011,K,,20110421,Y,D,58140,0,1,-1,195,206,-11,0,0,0,12,0,12,414,12b,,X
CBOT,BO,2011,K,,20110421,Y,D,58140,0,10,-10,0,0,0,0,0,0,10,0,10,20,12d,,X
CBOT,BO,2011,K,,20110421,Y,D,58140,26,0,26,50,0,50,0,0,0,0,76,-76,152,13a,,X
CBOT,BO,2011,K,,20110421,Y,D,58140,53,0,53,0,53,-53,0,0,0,0,0,0,106,13d,,X
CBOT,BO,2011,K,,20110421,Y,D,58140,80,0,80,40,120,-80,0,0,0,0,0,0,240,14a,,X
CBOT,BO,2011,K,,20110421,Y,D,58140,0,0,0,17,17,0,0,0,0,0,0,0,34,14c,,X
CBOT,BO,2011,K,,20110421,Y,A,58140,540,32,508,344,850,-506,52,1,51,23,76,-53,1918,09c10a11d12b12d13a13d14a14c,,X
CBOT,BO,2011,K,,20110421,N,D,58150,0,4,-4,2,0,2,0,0,0,4,2,2,12,09c,,X
CBOT,BO,2011,K,,20110421,N,D,58150,0,100,-100,0,8,-8,0,0,0,108,0,108,216,10b,,X
CBOT,BO,2011,K,,20110421,N,A,58150,0,104,-104,2,8,-6,0,0,0,112,2,110,228,09c10b,,X
CBOT,BO,2011,K,,20110421,N,D,58190,0,0,0,0,0,0,0,0,0,5,0,5,5,12b,,X
CBOT,BO,2011,K,,20110421,N,D,58190,0,5,-5,0,0,0,0,0,0,0,0,0,5,12c,,X
CBOT,BO,2011,K,,20110421,N,A,58190,0,5,-5,0,0,0,0,0,0,5,0,5,10,12b12c,,X
CBOT,BO,2011,K,,20110421,N,D,58200,5,5,0,0,0,0,0,0,0,0,0,0,10,11b,,X
CBOT,BO,2011,K,,20110421,N,A,58200,5,5,0,0,0,0,0,0,0,0,0,0,10,11b,,X
CBOT,BO,2011,K,,20110421,Y,D,58200,63,0,63,0,0,0,0,0,0,0,63,-63,126,11a,,X
CBOT,BO,2011,K,,20110421,Y,A,58200,63,0,63,0,0,0,0,0,0,0,63,-63,126,11a,,X
CBOT,BO,2011,K,,20110421,N,D,58240,21,0,21,0,21,-21,0,0,0,0,0,0,42,13d,,X
CBOT,BO,2011,K,,20110421,N,A,58240,21,0,21,0,21,-21,0,0,0,0,0,0,42,13d,,X
CBOT,BO,2011,K,,20110421,N,D,58250,5,5,0,0,0,0,0,0,0,0,0,0,10,11b,,X
CBOT,BO,2011,K,,20110421,N,D,58250,0,0,0,0,1,-1,0,0,0,3,2,1,6,13b,,X
CBOT,BO,2011,K,,20110421,N,D,58250,0,25,-25,86,0,86,25,0,25,0,86,-86,222,13c,,X
CBOT,BO,2011,K,,20110421,N,D,58250,36,21,15,0,15,-15,0,0,0,0,0,0,72,13d,,X
CBOT,BO,2011,K,,20110421,N,D,58250,41,0,41,0,96,-96,172,16,156,76,177,-101,578,14b,,X
CBOT,BO,2011,K,,20110421,N,A,58250,82,51,31,86,112,-26,197,16,181,79,265,-186,888,11b13b13c13d14b,,X
CBOT,BO,2011,K,,20110421,Y,D,58250,0,19,-19,44,25,19,0,0,0,0,0,0,88,12a,,X
CBOT,BO,2011,K,,20110421,Y,A,58250,0,19,-19,44,25,19,0,0,0,0,0,0,88,12a,,X
CBOT,BO,2011,K,,20110421,N,D,58260,0,1,-1,3,5,-2,0,0,0,3,0,3,12,13b,,X
CBOT,BO,2011,K,,20110421,N,A,58260,0,1,-1,3,5,-2,0,0,0,3,0,3,12,13b,,X
CBOT,BO,2011,K,,20110421,N,D,58280,0,20,-20,0,0,0,0,0,0,20,0,20,40,13c,,X
CBOT,BO,2011,K,,20110421,N,D,58280,0,3,-3,0,0,0,0,0,0,3,0,3,6,14a,,X
CBOT,BO,2011,K,,20110421,N,D,58280,0,130,-130,0,200,-200,237,11,226,104,0,104,682,14b,,X
CBOT,BO,2011,K,,20110421,N,A,58280,0,153,-153,0,200,-200,237,11,226,127,0,127,728,13c14a14b,,X
CBOT,BO,2011,K,,20110421,N,D,58300,10,0,10,0,10,-10,0,0,0,0,0,0,20,13d,,X
CBOT,BO,2011,K,,20110421,N,D,58300,0,0,0,0,130,-130,0,0,0,130,0,130,260,14b,,X
CBOT,BO,2011,K,,20110421,N,A,58300,10,0,10,0,140,-140,0,0,0,130,0,130,280,13d14b,,X
CBOT,BO,2011,N,,20110421,Y,D,58440,0,0,0,22,0,22,0,0,0,0,22,-22,44,09c,,X
CBOT,BO,2011,N,,20110421,Y,A,58440,0,0,0,22,0,22,0,0,0,0,22,-22,44,09c,,X
CBOT,BO,2011,N,,20110421,Y,D,58450,0,18,-18,0,0,0,0,0,0,18,0,18,36,10d,,X
CBOT,BO,2011,N,,20110421,Y,A,58450,0,18,-18,0,0,0,0,0,0,18,0,18,36,10d,,X
CBOT,BO,2011,N,,20110421,Y,D,58460,0,25,-25,0,0,0,0,0,0,25,0,25,50,09c,,X
CBOT,BO,2011,N,,20110421,Y,A,58460,0,25,-25,0,0,0,0,0,0,25,0,25,50,09c,,X
CBOT,BO,2011,N,,20110421,N,D,58550,50,0,50,0,50,-50,0,0,0,0,0,0,100,09c,,X
CBOT,BO,2011,N,,20110421,N,A,58550,50,0,50,0,50,-50,0,0,0,0,0,0,100,09c,,X
CBOT,BO,2011,N,,20110421,N,D,58560,0,17,-17,0,0,0,0,0,0,17,0,17,34,09c,,X
CBOT,BO,2011,N,,20110421,N,A,58560,0,17,-17,0,0,0,0,0,0,17,0,17,34,09c,,X
CBOT,BO,2011,N,,20110421,N,D,58600,10,0,10,40,50,-10,0,0,0,0,0,0,100,09c,,X
CBOT,BO,2011,N,,20110421,N,D,58600,110,0,110,40,150,-110,0,0,0,0,0,0,300,10b,,X
CBOT,BO,2011,N,,20110421,N,A,58600,120,0,120,80,200,-120,0,0,0,0,0,0,400,09c10b,,X
CBOT,BO,2011,N,,20110421,Y,D,58600,0,20,-20,0,0,0,0,0,0,60,0,60,80,10c,,X
CBOT,BO,2011,N,,20110421,Y,D,58600,0,40,-40,0,0,0,0,0,0,0,0,0,40,10d,,X
CBOT,BO,2011,N,,20110421,Y,A,58600,0,60,-60,0,0,0,0,0,0,60,0,60,120,10c10d,,X
CBOT,BO,2011,N,,20110421,N,D,58630,0,0,0,50,50,0,0,0,0,0,0,0,100,10b,,X
CBOT,BO,2011,N,,20110421,N,A,58630,0,0,0,50,50,0,0,0,0,0,0,0,100,10b,,X
CBOT,BO,2011,N,,20110421,N,D,58650,20,0,20,30,50,-20,0,0,0,0,0,0,100,09c,,X
CBOT,BO,2011,N,,20110421,N,A,58650,20,0,20,30,50,-20,0,0,0,0,0,0,100,09c,,X
CBOT,BO,2011,N,,20110421,Y,D,58650,0,0,0,49,0,49,0,0,0,0,49,-49,98,10a,,X
CBOT,BO,2011,N,,20110421,Y,A,58650,0,0,0,49,0,49,0,0,0,0,49,-49,98,10a,,X
CBOT,BO,2011,N,,20110421,Y,D,58680,0,65,-65,50,10,40,0,0,0,0,0,0,125,10c,,X
CBOT,BO,2011,N,,20110421,Y,D,58680,0,140,-140,0,0,0,0,0,0,140,0,140,280,10d,,X
CBOT,BO,2011,N,,20110421,Y,D,58680,0,0,0,0,0,0,0,0,0,25,0,25,25,11a,,X
CBOT,BO,2011,N,,20110421,Y,A,58680,0,205,-205,50,10,40,0,0,0,165,0,165,430,10c10d11a,,X
CBOT,BO,2011,N,,20110421,N,D,58700,35,0,35,0,55,-55,0,0,0,0,0,0,90,09c,,X
CBOT,BO,2011,N,,20110421,N,D,58700,0,0,0,20,0,20,0,0,0,0,0,0,20,10a,,X
CBOT,BO,2011,N,,20110421,N,A,58700,35,0,35,20,55,-35,0,0,0,0,0,0,110,09c10a,,X
CBOT,BO,2011,N,,20110421,Y,D,58700,0,50,-50,50,0,50,0,0,0,0,0,0,100,10b,,X
CBOT,BO,2011,N,,20110421,Y,D,58700,0,18,-18,0,0,0,0,0,0,18,0,18,36,12c,,X
CBOT,BO,2011,N,,20110421,Y,A,58700,0,68,-68,50,0,50,0,0,0,18,0,18,136,10b12c,,X
CBOT,BO,2011,N,,20110421,Y,D,58730,0,100,-100,0,0,0,0,0,0,100,0,100,200,10a,,X
CBOT,BO,2011,N,,20110421,Y,A,58730,0,100,-100,0,0,0,0,0,0,100,0,100,200,10a,,X
CBOT,BO,2011,N,,20110421,N,D,58750,0,1,-1,0,0,0,0,0,0,1,0,1,2,09c,,X
CBOT,BO,2011,N,,20110421,N,D,58750,0,20,-20,0,10,-10,0,0,0,0,0,0,30,12b,,X
CBOT,BO,2011,N,,20110421,N,A,58750,0,21,-21,0,10,-10,0,0,0,1,0,1,32,09c12b,,X
CBOT,BO,2011,N,,20110421,Y,D,58750,18,0,18,0,18,-18,0,0,0,0,0,0,36,09c,,X
CBOT,BO,2011,N,,20110421,Y,D,58750,90,0,90,0,90,-90,0,0,0,0,0,0,180,10d,,X
CBOT,BO,2011,N,,20110421,Y,D,58750,0,0,0,30,0,30,0,0,0,0,0,0,30,12b,,X
