exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BO,2011,K,,20110425,N,D,57950,0,15,-15,0,0,0,0,0,0,15,0,15,30,09c,,X
CBOT,BO,2011,K,,20110425,N,A,57950,0,15,-15,0,0,0,0,0,0,15,0,15,30,09c,,X
CBOT,BO,2011,K,,20110425,N,D,58000,0,20,-20,0,0,0,0,0,0,20,0,20,40,09c,,X
CBOT,BO,2011,K,,20110425,N,A,58000,0,20,-20,0,0,0,0,0,0,20,0,20,40,09c,,X
CBOT,BO,2011,K,,20110425,Y,D,58000,0,0,0,0,0,0,0,0,0,0,187,-187,187,09c,,X
CBOT,BO,2011,K,,20110425,Y,A,58000,0,0,0,0,0,0,0,0,0,0,187,-187,187,09c,,X
CBOT,BO,2011,K,,20110425,N,D,58040,0,0,0,0,15,-15,0,0,0,15,0,15,30,09c,,X
CBOT,BO,2011,K,,20110425,N,A,58040,0,0,0,0,15,-15,0,0,0,15,0,15,30,09c,,X
CBOT,BO,2011,K,,20110425,N,D,58050,0,20,-20,0,0,0,0,0,0,20,0,20,40,09c,,X
CBOT,BO,2011,K,,20110425,N,D,58050,2,0,2,0,0,0,0,0,0,0,2,-2,4,09d,,X
CBOT,BO,2011,K,,20110425,N,D,58050,0,0,0,5,0,5,0,0,0,0,5,-5,10,10b,,X
CBOT,BO,2011,K,,20110425,N,A,58050,2,20,-18,5,0,5,0,0,0,20,7,13,54,09c09d10b,,X
CBOT,BO,2011,K,,20110425,N,D,58070,0,45,-45,0,0,0,0,0,0,45,0,45,90,09c,,X
CBOT,BO,2011,K,,20110425,N,A,58070,0,45,-45,0,0,0,0,0,0,45,0,45,90,09c,,X
CBOT,BO,2011,K,,20110425,N,D,58080,0,20,-20,0,10,-10,0,0,0,30,0,30,60,09c,,X
CBOT,BO,2011,K,,20110425,N,A,58080,0,20,-20,0,10,-10,0,0,0,30,0,30,60,09c,,X
