exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BC,2011,Z,0000070,20110511,N,D,40,2,2,0,0,0,0,0,0,0,0,0,0,4,12b,C,X
CBOT,BC,2011,Z,0000070,20110511,N,A,40,2,2,0,0,0,0,0,0,0,0,0,0,4,12b,C,X
CBOT,BO,2011,K,,20110511,Y,D,56490,0,30,-30,0,0,0,0,0,0,30,0,30,60,09c,,X
CBOT,BO,2011,K,,20110511,Y,D,56490,8,8,0,0,0,0,0,0,0,0,0,0,16,09d,,X
CBOT,BO,2011,K,,20110511,Y,D,56490,0,229,-229,0,0,0,0,0,0,229,0,229,458,11b,,X
CBOT,BO,2011,K,,20110511,Y,D,56490,0,1,-1,0,0,0,1,0,1,0,0,0,2,12b,,X
CBOT,BO,2011,K,,20110511,Y,A,56490,8,268,-260,0,0,0,1,0,1,259,0,259,536,09c09d11b12b,,X
CBOT,BO,2011,N,,20110511,Y,D,55880,0,18,-18,0,0,0,0,0,0,18,0,18,36,09d,,X
CBOT,BO,2011,N,,20110511,Y,D,55880,0,9,-9,0,0,0,9,0,9,0,0,0,18,11d,,X
CBOT,BO,2011,N,,20110511,Y,A,55880,0,27,-27,0,0,0,9,0,9,18,0,18,54,09d11d,,X
CBOT,BO,2011,N,,20110511,N,D,55950,0,0,0,0,0,0,0,0,0,3,3,0,6,09c,,X
CBOT,BO,2011,N,,20110511,N,D,55950,50,0,50,0,0,0,0,0,0,0,50,-50,100,09d,,X
CBOT,BO,2011,N,,20110511,N,D,55950,0,0,0,50,0,50,0,0,0,0,50,-50,100,10a,,X
CBOT,BO,2011,N,,20110511,N,D,55950,0,0,0,8,0,8,0,0,0,0,8,-8,16,11a,,X
CBOT,BO,2011,N,,20110511,N,A,55950,50,0,50,58,0,58,0,0,0,3,111,-108,222,09c09d10a11a,,X
CBOT,BO,2011,N,,20110511,N,D,55970,2,0,2,0,0,0,0,0,0,0,2,-2,4,10b,,X
CBOT,BO,2011,N,,20110511,N,A,55970,2,0,2,0,0,0,0,0,0,0,2,-2,4,10b,,X
CBOT,BO,2011,N,,20110511,N,D,56000,0,20,-20,20,0,20,0,0,0,0,0,0,40,09c,,X
CBOT,BO,2011,N,,20110511,N,A,56000,0,20,-20,20,0,20,0,0,0,0,0,0,40,09c,,X
CBOT,BO,2011,N,,20110511,N,D,56010,4,4,0,0,0,0,0,0,0,0,0,0,8,09d,,X
CBOT,BO,2011,N,,20110511,N,A,56010,4,4,0,0,0,0,0,0,0,0,0,0,8,09d,,X
CBOT,BO,2011,N,,20110511,N,D,56020,6,6,0,0,0,0,0,0,0,0,0,0,12,09d,,X
CBOT,BO,2011,N,,20110511,N,A,56020,6,6,0,0,0,0,0,0,0,0,0,0,12,09d,,X
CBOT,BO,2011,N,,20110511,N,D,56100,0,10,-10,10,0,10,0,0,0,0,0,0,20,09c,,X
CBOT,BO,2011,N,,20110511,N,D,56100,25,0,25,5,50,-45,0,0,0,5,0,5,85,09d,,X
CBOT,BO,2011,N,,20110511,N,D,56100,15,0,15,0,0,0,0,0,0,0,0,0,15,10a,,X
CBOT,BO,2011,N,,20110511,N,D,56100,5,0,5,0,5,-5,0,0,0,0,0,0,10,11c,,X
CBOT,BO,2011,N,,20110511,N,A,56100,45,10,35,15,55,-40,0,0,0,5,0,5,130,09c09d10a11c,,X
CBOT,BO,2011,N,,20110511,N,D,56120,9,9,0,0,0,0,0,0,0,0,0,0,18,09d,,X
CBOT,BO,2011,N,,20110511,N,D,56120,0,0,0,5,0,5,0,0,0,0,0,0,5,11b,,X
CBOT,BO,2011,N,,20110511,N,D,56120,0,0,0,0,5,-5,0,0,0,0,0,0,5,12a,,X
CBOT,BO,2011,N,,20110511,N,A,56120,9,9,0,5,5,0,0,0,0,0,0,0,28,09d11b12a,,X
CBOT,BO,2011,N,,20110511,N,D,56130,1,2,-1,1,0,1,0,0,0,0,0,0,4,09c,,X
CBOT,BO,2011,N,,20110511,N,D,56130,0,5,-5,0,0,0,5,0,5,0,0,0,10,09d,,X
CBOT,BO,2011,N,,20110511,N,D,56130,0,0,0,10,10,0,0,0,0,0,0,0,20,11d,,X
CBOT,BO,2011,N,,20110511,N,A,56130,1,7,-6,11,10,1,5,0,5,0,0,0,34,09c09d11d,,X
CBOT,BO,2011,N,,20110511,N,D,56140,5,0,5,0,0,0,0,0,0,0,0,0,5,11b,,X
CBOT,BO,2011,N,,20110511,N,D,56140,5,0,5,0,5,-5,0,0,0,0,0,0,10,11c,,X
CBOT,BO,2011,N,,20110511,N,D,56140,0,0,0,0,5,-5,0,0,0,0,0,0,5,11d,,X
CBOT,BO,2011,N,,20110511,N,A,56140,10,0,10,0,10,-10,0,0,0,0,0,0,20,11b11c11d,,X
CBOT,BO,2011,N,,20110511,N,D,56150,0,13,-13,13,0,13,0,0,0,0,0,0,26,09c,,X
