exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BO,2011,K,,20110426,N,D,57920,0,0,0,1,1,0,0,0,0,0,0,0,2,12a,,X
CBOT,BO,2011,K,,20110426,N,A,57920,0,0,0,1,1,0,0,0,0,0,0,0,2,12a,,X
CBOT,BO,2011,K,,20110426,N,D,57980,2,2,0,0,0,0,0,0,0,0,0,0,4,11b,,X
CBOT,BO,2011,K,,20110426,N,A,57980,2,2,0,0,0,0,0,0,0,0,0,0,4,11b,,X
CBOT,BO,2011,K,,20110426,N,D,57990,10,0,10,0,10,-10,0,0,0,0,0,0,20,11a,,X
CBOT,BO,2011,K,,20110426,N,A,57990,10,0,10,0,10,-10,0,0,0,0,0,0,20,11a,,X
CBOT,BO,2011,K,,20110426,N,D,58000,6,0,6,0,6,-6,0,0,0,0,0,0,12,11a,,X
CBOT,BO,2011,K,,20110426,N,A,58000,6,0,6,0,6,-6,0,0,0,0,0,0,12,11a,,X
CBOT,BO,2011,K,,20110426,Y,D,58000,0,0,0,0,0,0,0,0,0,0,460,-460,460,09d,,X
CBOT,BO,2011,K,,20110426,Y,D,58000,0,0,0,144,114,30,0,0,0,0,0,0,258,11b,,X
CBOT,BO,2011,K,,20110426,Y,D,58000,0,0,0,113,0,113,0,0,0,0,0,0,113,13a,,X
CBOT,BO,2011,K,,20110426,Y,A,58000,0,0,0,257,114,143,0,0,0,0,460,-460,831,09d11b13a,,X
CBOT,BO,2011,K,,20110426,N,D,58010,10,1,9,1,10,-9,0,0,0,0,0,0,22,10d,,X
CBOT,BO,2011,K,,20110426,N,A,58010,10,1,9,1,10,-9,0,0,0,0,0,0,22,10d,,X
CBOT,BO,2011,K,,20110426,N,D,58030,0,1,-1,0,0,0,0,0,0,1,0,1,2,14a,,X
CBOT,BO,2011,K,,20110426,N,A,58030,0,1,-1,0,0,0,0,0,0,1,0,1,2,14a,,X
CBOT,BO,2011,K,,20110426,N,D,58050,0,2,-2,10,0,10,0,0,0,0,8,-8,20,13b,,X
CBOT,BO,2011,K,,20110426,N,A,58050,0,2,-2,10,0,10,0,0,0,0,8,-8,20,13b,,X
CBOT,BO,2011,K,,20110426,Y,D,58050,0,0,0,0,0,0,0,0,0,0,81,-81,81,14a,,X
CBOT,BO,2011,K,,20110426,Y,A,58050,0,0,0,0,0,0,0,0,0,0,81,-81,81,14a,,X
CBOT,BO,2011,K,,20110426,N,D,58070,3,0,3,0,0,0,0,0,0,0,3,-3,6,10a,,X
CBOT,BO,2011,K,,20110426,N,A,58070,3,0,3,0,0,0,0,0,0,0,3,-3,6,10a,,X
CBOT,BO,2011,K,,20110426,N,D,58150,0,1,-1,0,1,-1,0,0,0,2,0,2,4,09c,,X
CBOT,BO,2011,K,,20110426,N,D,58150,0,10,-10,10,0,10,0,0,0,0,0,0,20,10a,,X
CBOT,BO,2011,K,,20110426,N,A,58150,0,11,-11,10,1,9,0,0,0,2,0,2,24,09c10a,,X
CBOT,BO,2011,K,,20110426,Y,D,58150,36,0,36,0,0,0,0,18,-18,0,18,-18,72,09c,,X
CBOT,BO,2011,K,,20110426,Y,D,58150,36,0,36,0,0,0,0,36,-36,0,0,0,72,10d,,X
CBOT,BO,2011,K,,20110426,Y,D,58150,36,0,36,0,0,0,0,0,0,0,36,-36,72,11b,,X
CBOT,BO,2011,K,,20110426,Y,D,58150,36,0,36,0,0,0,0,18,-18,0,18,-18,72,11c,,X
CBOT,BO,2011,K,,20110426,Y,A,58150,144,0,144,0,0,0,0,72,-72,0,72,-72,288,09c10d11b11c,,X
CBOT,BO,2011,K,,20110426,Y,D,58210,0,131,-131,0,0,0,0,104,-104,235,0,235,470,09c,,X
CBOT,BO,2011,K,,20110426,Y,D,58210,303,243,60,15,0,15,40,0,40,349,0,349,950,09d,,X
CBOT,BO,2011,K,,20110426,Y,D,58210,20,94,-74,0,220,-220,20,400,-380,670,0,670,1424,10a,,X
CBOT,BO,2011,K,,20110426,Y,D,58210,0,0,0,0,0,0,0,100,-100,100,0,100,200,10b,,X
CBOT,BO,2011,K,,20110426,Y,D,58210,75,32,43,25,12,13,14,0,14,0,0,0,158,11b,,X
CBOT,BO,2011,K,,20110426,Y,D,58210,0,34,-34,0,0,0,0,0,0,34,0,34,68,12a,,X
CBOT,BO,2011,K,,20110426,Y,D,58210,1,0,1,0,1,-1,0,0,0,0,0,0,2,12d,,X
