exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BO,2011,N,,20110516,N,D,55880,0,0,0,0,20,-20,0,0,0,0,0,0,20,13c,,X
CBOT,BO,2011,N,,20110516,N,D,55880,0,4,-4,0,0,0,0,0,0,54,50,4,108,13d,,X
CBOT,BO,2011,N,,20110516,N,D,55880,0,10,-10,0,0,0,0,9,-9,39,0,39,58,14a,,X
CBOT,BO,2011,N,,20110516,N,A,55880,0,14,-14,0,20,-20,0,9,-9,93,50,43,186,13c13d14a,,X
CBOT,BO,2011,N,,20110516,N,D,55900,25,0,25,0,0,0,0,0,0,0,0,0,25,13a,,X
CBOT,BO,2011,N,,20110516,N,D,55900,0,0,0,1,5,-4,0,0,0,0,1,-1,7,13b,,X
CBOT,BO,2011,N,,20110516,N,D,55900,0,0,0,25,55,-30,0,0,0,0,20,-20,100,13c,,X
CBOT,BO,2011,N,,20110516,N,D,55900,25,65,-40,0,29,-29,0,0,0,79,0,79,198,13d,,X
CBOT,BO,2011,N,,20110516,N,D,55900,60,30,30,20,30,-10,0,0,0,40,40,0,220,14a,,X
CBOT,BO,2011,N,,20110516,N,D,55900,0,0,0,71,0,71,0,0,0,0,71,-71,142,14b,,X
CBOT,BO,2011,N,,20110516,N,A,55900,110,95,15,117,119,-2,0,0,0,119,132,-13,692,13a13b13c13d14a14b,,X
CBOT,BO,2011,N,,20110516,Y,D,55900,0,0,0,0,0,0,0,9,-9,9,0,9,18,13d,,X
CBOT,BO,2011,N,,20110516,Y,A,55900,0,0,0,0,0,0,0,9,-9,9,0,9,18,13d,,X
CBOT,BO,2011,N,,20110516,N,D,55910,31,0,31,0,0,0,0,0,0,0,31,-31,62,13b,,X
CBOT,BO,2011,N,,20110516,N,D,55910,0,0,0,9,9,0,0,0,0,0,0,0,18,13c,,X
CBOT,BO,2011,N,,20110516,N,D,55910,31,0,31,0,0,0,0,0,0,0,31,-31,62,13d,,X
CBOT,BO,2011,N,,20110516,N,A,55910,62,0,62,9,9,0,0,0,0,0,62,-62,142,13b13c13d,,X
CBOT,BO,2011,N,,20110516,Y,D,55910,0,0,0,0,0,0,0,0,0,40,22,18,62,13a,,X
CBOT,BO,2011,N,,20110516,Y,A,55910,0,0,0,0,0,0,0,0,0,40,22,18,62,13a,,X
CBOT,BO,2011,N,,20110516,N,D,55920,0,45,-45,10,0,10,35,0,35,0,0,0,90,13b,,X
CBOT,BO,2011,N,,20110516,N,D,55920,50,0,50,0,19,-19,0,0,0,0,40,-40,109,13c,,X
CBOT,BO,2011,N,,20110516,N,D,55920,0,0,0,0,0,0,0,0,0,175,175,0,350,13d,,X
CBOT,BO,2011,N,,20110516,N,D,55920,0,11,-11,37,4,33,8,0,8,70,91,-21,221,14a,,X
CBOT,BO,2011,N,,20110516,N,A,55920,50,56,-6,47,23,24,43,0,43,245,306,-61,770,13b13c13d14a,,X
CBOT,BO,2011,N,,20110516,Y,D,55920,0,0,0,0,0,0,0,0,0,12,0,12,12,13a,,X
CBOT,BO,2011,N,,20110516,Y,A,55920,0,0,0,0,0,0,0,0,0,12,0,12,12,13a,,X
CBOT,BO,2011,N,,20110516,N,D,55940,0,1,-1,2,0,2,0,0,0,0,1,-1,4,13d,,X
CBOT,BO,2011,N,,20110516,N,A,55940,0,1,-1,2,0,2,0,0,0,0,1,-1,4,13d,,X
CBOT,BO,2011,N,,20110516,N,D,55950,0,0,0,0,4,-4,3,0,3,1,0,1,8,14a,,X
