exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BO,2011,K,,20110506,N,D,55110,0,1,-1,0,0,0,0,0,0,1,0,1,2,11b,,X
CBOT,BO,2011,K,,20110506,N,A,55110,0,1,-1,0,0,0,0,0,0,1,0,1,2,11b,,X
CBOT,BO,2011,K,,20110506,Y,D,55360,0,0,0,0,0,0,0,0,0,2,0,2,2,10a,,X
CBOT,BO,2011,K,,20110506,Y,D,55360,2,0,2,0,0,0,0,2,-2,0,0,0,4,10b,,X
CBOT,BO,2011,K,,20110506,Y,D,55360,0,2,-2,0,0,0,0,0,0,0,0,0,2,10c,,X
CBOT,BO,2011,K,,20110506,Y,D,55360,11,0,11,0,0,0,0,0,0,0,11,-11,22,11b,,X
CBOT,BO,2011,K,,20110506,Y,D,55360,1,0,1,0,0,0,0,0,0,0,1,-1,2,11c,,X
CBOT,BO,2011,K,,20110506,Y,D,55360,8,0,8,0,0,0,0,0,0,0,8,-8,16,12a,,X
CBOT,BO,2011,K,,20110506,Y,A,55360,22,2,20,0,0,0,0,2,-2,2,20,-18,48,10a10b10c11b11c12a,,X
CBOT,BO,2011,K,,20110506,N,D,55680,0,0,0,0,0,0,0,0,0,2,2,0,4,09c,,X
CBOT,BO,2011,K,,20110506,N,D,55680,0,1,-1,0,0,0,0,0,0,1,0,1,2,10d,,X
CBOT,BO,2011,K,,20110506,N,A,55680,0,1,-1,0,0,0,0,0,0,3,2,1,6,09c10d,,X
CBOT,BO,2011,N,,20110506,N,D,55270,0,0,0,5,0,5,0,0,0,0,5,-5,10,11c,,X
CBOT,BO,2011,N,,20110506,N,A,55270,0,0,0,5,0,5,0,0,0,0,5,-5,10,11c,,X
